"","sample","cell_type","set_size","score","value"
"1","A","NK cell","full","precision",0.863979080409675
"2","A","NK cell","full","recall",0.973769525493663
"3","A","NK cell","full","f1",0.915594762487588
"4","A","NK cell","subset","precision",0.991374936580416
"5","A","NK cell","subset","recall",0.977
"6","A","NK cell","subset","f1",0.984134978594812
"7","A","T cell","full","precision",0.99405896286466
"8","A","T cell","full","recall",0.980147816792383
"9","A","T cell","full","f1",0.987054377742493
"10","A","T cell","subset","precision",0.992458521870287
"11","A","T cell","subset","recall",0.987
"12","A","T cell","subset","f1",0.989721734770619
"13","B","NK cell","full","precision",0.865900383141762
"14","B","NK cell","full","recall",0.979223532529482
"15","B","NK cell","full","f1",0.919081937854829
"16","B","NK cell","subset","precision",0.989409984871407
"17","B","NK cell","subset","recall",0.981
"18","B","NK cell","subset","f1",0.985187044940999
"19","B","T cell","full","precision",0.990367796194143
"20","B","T cell","full","recall",0.98968249664991
"21","B","T cell","full","f1",0.990025027830224
"22","B","T cell","subset","precision",0.993512974051896
"23","B","T cell","subset","recall",0.9955
"24","B","T cell","subset","f1",0.994505494505495
"25","C","NK cell","full","precision",0.621549421193232
"26","C","NK cell","full","recall",0.944126521693892
"27","C","NK cell","full","f1",0.749607600165221
"28","C","NK cell","subset","precision",0.988589211618257
"29","C","NK cell","subset","recall",0.953
"30","C","NK cell","subset","f1",0.970468431771894
"31","C","T cell","full","precision",0.981722525974991
"32","C","T cell","full","recall",0.979586622933527
"33","C","T cell","full","f1",0.9806534114347
"34","C","T cell","subset","precision",0.989914271306102
"35","C","T cell","subset","recall",0.9815
"36","C","T cell","subset","f1",0.985689179010796
"37","H","NK cell","full","precision",0.897687751924448
"38","H","NK cell","full","recall",0.980529285543988
"39","H","NK cell","full","f1",0.937281594700538
"40","H","NK cell","subset","precision",0.992431886982846
"41","H","NK cell","subset","recall",0.9835
"42","H","NK cell","subset","f1",0.987945755901557
"43","H","T cell","full","precision",0.996248690714858
"44","H","T cell","full","recall",0.990197025190489
"45","H","T cell","full","f1",0.993213639816148
"46","H","T cell","subset","precision",0.995488721804511
"47","H","T cell","subset","recall",0.993
"48","H","T cell","subset","f1",0.99424280350438
"49","J","NK cell","full","precision",0.643518518518518
"50","J","NK cell","full","recall",0.945361454990066
"51","J","NK cell","full","f1",0.765769111730114
"52","J","NK cell","subset","precision",0.991177996886352
"53","J","NK cell","subset","recall",0.955
"54","J","NK cell","subset","f1",0.97275273745862
"55","J","T cell","full","precision",0.994667450990422
"56","J","T cell","full","recall",0.981455700195579
"57","J","T cell","full","f1",0.988017410744529
"58","J","T cell","subset","precision",0.995465994962217
"59","J","T cell","subset","recall",0.988
"60","J","T cell","subset","f1",0.991718946047679
"61","O","NK cell","full","precision",0.783549967434089
"62","O","NK cell","full","recall",0.953348148913811
"63","O","NK cell","full","f1",0.860149370885889
"64","O","NK cell","subset","precision",0.987755102040816
"65","O","NK cell","subset","recall",0.968
"66","O","NK cell","subset","f1",0.977777777777778
"67","O","T cell","full","precision",0.991489906260998
"68","O","T cell","full","recall",0.986741454380467
"69","O","T cell","full","f1",0.989109981342415
"70","O","T cell","subset","precision",0.994477911646586
"71","O","T cell","subset","recall",0.9905
"72","O","T cell","subset","f1",0.99248496993988
"73","T","NK cell","full","precision",0.763708388352214
"74","T","NK cell","full","recall",0.955925421173196
"75","T","NK cell","full","f1",0.849074097921549
"76","T","NK cell","subset","precision",0.979177247333672
"77","T","NK cell","subset","recall",0.964
"78","T","NK cell","subset","f1",0.971529352481733
"79","T","T cell","full","precision",0.985272994623564
"80","T","T cell","full","recall",0.969378920498025
"81","T","T cell","full","f1",0.977261336952298
"82","T","T cell","subset","precision",0.988815455007626
"83","T","T cell","subset","recall",0.9725
"84","T","T cell","subset","f1",0.980589866397782
"85","U","NK cell","full","precision",0.796280522430437
"86","U","NK cell","full","recall",0.943323242515977
"87","U","NK cell","full","f1",0.863587374903772
"88","U","NK cell","subset","precision",0.992685475444096
"89","U","NK cell","subset","recall",0.95
"90","U","NK cell","subset","f1",0.970873786407767
"91","U","T cell","full","precision",0.995304266784558
"92","U","T cell","full","recall",0.983993857421298
"93","U","T cell","full","f1",0.989616746263692
"94","U","T cell","subset","precision",0.993975903614458
"95","U","T cell","subset","recall",0.99
"96","U","T cell","subset","f1",0.991983967935872
