,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,score,cell_type
0,0.977373,0.980745,0.976862,0.974261,0.973772,f1,B cell
1,0.963445,0.962515,0.954771,0.949814,0.948885,recall,B cell
2,0.991709,0.999678,1.0,1.0,1.0,precision,B cell
3,0.989224,0.974667,0.974667,0.974667,0.974667,f1,B cell
4,0.983727,0.950585,0.950585,0.950585,0.950585,recall,B cell
5,0.994782,1.0,1.0,1.0,1.0,precision,B cell
6,0.996767,0.997,0.993823,0.993345,0.991347,f1,B cell
7,0.994806,0.994019,0.987722,0.986778,0.982843,recall,B cell
8,0.998736,1.0,1.0,1.0,1.0,precision,B cell
9,0.324415,0.761711,0.778013,0.775424,0.76824,f1,dendritic cell
10,0.675958,0.651568,0.641115,0.637631,0.623693,recall,dendritic cell
11,0.213421,0.916667,0.989247,0.989189,1.0,precision,dendritic cell
12,0.985996,0.988855,0.989159,0.988815,0.988878,f1,monocyte
13,0.990206,0.985937,0.985309,0.982421,0.982421,recall,monocyte
14,0.981823,0.99179,0.99304,0.995293,0.99542,precision,monocyte
15,0.115092,0.791011,0.816901,0.8,0.803828,f1,dendritic cell
16,0.836066,0.721311,0.713115,0.688525,0.688525,recall,dendritic cell
17,0.061799,0.875622,0.956044,0.954545,0.965517,precision,dendritic cell
18,0.172555,0.665667,0.690513,0.685535,0.683465,f1,dendritic cell
19,0.555024,0.5311,0.5311,0.521531,0.519139,recall,dendritic cell
20,0.102158,0.891566,0.986667,1.0,1.0,precision,dendritic cell
21,0.982393,0.98338,0.983665,0.983884,0.9716,f1,monocyte
22,0.984554,0.97468,0.974289,0.972822,0.948187,recall,monocyte
23,0.980241,0.992237,0.993223,0.9952,0.9962,precision,monocyte
24,0.966201,0.968349,0.968896,0.97208,0.972361,f1,monocyte
25,0.962768,0.958647,0.958363,0.957368,0.957368,recall,monocyte
26,0.969658,0.978248,0.979663,0.987251,0.98783,precision,monocyte
